Country Name,CO2 emissions (metric tons per capita),Total greenhouse gas emissions (kt of CO2 equivalent),Access to electricity (% of population),Renewable energy consumption (% of total final energy consumption),Terrestrial protected areas (% of total land area),Population growth (annual %),Population (total),Urban population growth (annual %)
Lebanon,3.91594244914353,NaN,99.99894460042317,4.385490965120395,2.5948724159837133,3.9283229231561343,6374323.142857143,4.10827796131811
Lesotho,1.2006239690617133,3472.70753642453,29.105752754211434,52.05980867540622,0.2609257874951947,0.725190816655981,2060073.142857143,2.2459713108667887
Liberia,0.22934954236295302,2833.94277850522,14.05986404418946,84.98803514987418,3.5308739503155864,2.5988004895900887,4474817.285714285,3.4497783195527876
Libya,8.747557296806496,82129.13394646799,74.03787485758465,1.8377867772727452,0.21123191205265401,0.9533117686259686,6448273.714285715,1.2825548837743992
Liechtenstein,1.2913726749459167,NaN,100.0,62.02924620369008,22.120069454367798,0.6227149188362577,37372.857142857145,0.5518888316009354
Lithuania,4.427085677267754,29442.212346573102,100.0,26.7328319267185,16.9954006502244,-1.1723730772487737,2895558.0,-0.9729934026693634
Low & middle income,3.50316120314716,34872876.5655052,83.95121055437875,22.842983440303676,14.601184750637467,1.2787066363354316,6149911507.142858,2.4234893106456825
Low income,0.3098781005816917,3115755.23246632,35.56886096241707,76.60170845647548,15.540788979539267,2.5333878793020714,654652747.2857143,3.7881404232690357
Lower middle income,1.466082986477333,8983601.54345511,81.09968252106152,40.536407938412204,13.614229641419534,1.4645668551638555,2897827330.714286,2.6425618903186314
Luxembourg,18.648220191553367,12610.9976195246,100.0,6.446400472262238,38.00516091903334,2.2726073041269785,569472.4285714285,2.602180696860604
Macao,2.18237658307139,NaN,100.0,10.340435186960345,NaN,1.9554773768186402,600108.7142857143,1.9554773768186402
Madagascar,0.12909071062263033,117932.59706014699,19.395083554585785,72.83524739595364,5.476370876406847,2.697152860469781,24265593.85714286,4.588127542073325
Malawi,0.07562681047765381,21632.1320932947,10.466666666666667,80.96201417467705,20.880698473518468,2.7540147750409014,16755568.714285715,3.86294183656532
Malaysia,7.8933095053585305,279098.376755817,99.95552520751954,4.715206619207185,19.12621103962567,1.367254553104553,30284709.85714286,2.224199843859303
Maldives,2.83161983745105,NaN,99.86328582763669,0.9983738251675678,1.1327304513667067,4.34349154240501,455767.28571428574,5.446852924580132
Mali,0.0693254630202766,77437.931654233,34.8632448832194,63.36406596277315,8.231073370048408,2.9534093362996727,17479696.285714287,4.962544050778293
Malta,5.758277389196784,NaN,100.0,3.6151776027597173,28.087583888414866,2.1397725276478137,447498.71428571426,2.2110498793739692
Marshall Islands,1.8031034852299266,NaN,92.46585845947266,11.816073861608825,11.9638057381702,0.4678472506940613,57497.0,1.0340889301728764
Mauritania,0.7016542299124916,13343.1626272099,39.53525683085123,32.55441249044205,0.621325475887526,2.8828622197600215,4050096.0,4.630132201759669
Mauritius,3.248769635585983,NaN,97.90423965454103,11.304416065527452,4.7335925418082665,0.14638164080996452,1261637.5714285714,-0.07979147502501961
Mexico,4.1163737040870965,663424.954361171,99.3820591019694,9.292465885612092,14.423688400974868,1.2404777973680399,121802312.85714285,1.609675549708926
Micronesia,1.34923017157487,NaN,75.07194010416669,1.2316116283650975,1.459441893624463,1.2158355459740016,108726.71428571429,1.4683903860337673
Middle East & North Africa,6.103832835025966,1464934.5037815,97.10900077023011,1.6216750547831924,6.674254733497661,1.8835539807149786,425638832.0,2.4224539732188624
Middle East & North Africa (IDA & IBRD countries),3.9993662230219464,977795.5731532071,96.58202020671744,2.5716211454715303,7.170554089765989,1.7557291745036916,359677835.28571427,2.2988643725595996
Middle East & North Africa (excluding high income),3.9597214828340803,977795.5731532071,96.62159502672249,2.609310755049,7.171098048522957,1.7626785051512173,363948003.28571427,2.30467290481501
Middle income,3.8718294292506132,31757121.333038896,89.66555559802332,20.746001293305273,14.444086941746733,1.1311572908422458,5495258759.857142,2.3241429255074713
Moldova,1.3916379525710199,11350.629999646999,100.0,12.71730791605065,4.150356365700993,-0.0567057155446129,3553660.4285714286,-0.043294994880369045
Monaco,NaN,NaN,100.0,NaN,42.93673572170953,1.0169856079609632,37649.28571428572,1.0169856079609665
Mongolia,9.940058717469826,NaN,82.46267623901369,3.1180033187173524,17.609255043651867,1.9259886185343142,2997912.0,2.0269485113439543
Montenegro,3.6461746304814397,NaN,99.95,46.07217070386567,5.620474019111719,0.05211017247801086,621828.2857142857,0.5616331235995086
Morocco,1.7967640136153233,80436.7152145251,97.22388102213542,11.622824398623225,30.7884007402664,1.3493284484503987,34650038.428571425,2.263669279617264
Mozambique,0.20110898193240398,380308.29250806104,24.085085868835467,89.09877446916045,21.59215216194146,2.834541989979694,27103778.42857143,4.363176008029073
Myanmar,0.292366209604635,528416.2176625071,58.1902795950682,69.91884565596263,6.637000680064646,0.7418246369238111,52623412.0,1.4623219930060611
Namibia,1.4570001070195602,38049.270784756496,49.17414194742836,27.728920738363772,37.8906206835408,1.811368379210506,2317932.4285714286,4.096225498189096
Nauru,4.004200904844663,NaN,99.21897761027016,0.08217946473485285,NaN,3.3378285006062387,12008.142857142857,3.337828500606237
Nepal,0.25400518744532236,40762.7152881677,84.94526952107746,85.1472958686248,23.627361322216398,0.542392184187606,27257978.714285713,2.5866907618051718
Netherlands,10.131653231628897,195873.763889571,100.0,5.384091470601782,11.272489634007465,0.4531024413587623,16965278.85714286,1.0283702354514517
New Caledonia,15.371629862537366,NaN,100.0,5.291541624358017,54.40610508547607,1.5782030312029713,272008.5714285714,2.2226585868673125
